Estimate: 82.3665393308, Relative error:0.372775655514
Estimate: 146.159517153, Relative error:0.217995976277
Estimate: 209.500971221, Relative error:0.163894284562
Estimate: 224.020606125, Relative error:0.0665808078145
Estimate: 268.523322588, Relative error:0.10492225804
Estimate: 321.400868522, Relative error:0.107219809661
Estimate: 384.87821601, Relative error:0.0836232952147
Estimate: 420.111822561, Relative error:0.124767036331
Estimate: 464.033944917, Relative error:0.140677879784
Estimate: 492.303871534, Relative error:0.179493547444
Estimate: 618.43850182, Relative error:0.0629719669399
Estimate: 687.654419239, Relative error:0.0449244177233
Estimate: 725.219250335, Relative error:0.0702317303393
Estimate: 824.556089283, Relative error:0.0183856079961
Estimate: 935.586451471, Relative error:0.0395405016342
Estimate: 969.75755291, Relative error:0.0101641176151
Estimate: 1001.09797543, Relative error:0.0185313966421
Estimate: 1132.21455778, Relative error:0.048346812756
Estimate: 1197.8898433, Relative error:0.050780564301
Estimate: 1199.823093, Relative error:0.000147422500168
Estimate: 1441.82377503, Relative error:0.144304583357
Estimate: 1464.54643487, Relative error:0.1095048749
Estimate: 1464.54643487, Relative error:0.0612655325132
Estimate: 1464.54643487, Relative error:0.0170461353252
Estimate: 1556.53574248, Relative error:0.0376904949839
Estimate: 1653.46763192, Relative error:0.0599151486638
Estimate: 1685.32815869, Relative error:0.0403260238797
Estimate: 1732.45647306, Relative error:0.0312240911045
Estimate: 1799.55312315, Relative error:0.034225932843
Estimate: 1799.55312315, Relative error:0.000248264918474
